path,size_bytes,sha256,width,height,mode
assets/memoriz/categories/devinePersonnage.webp,71562,db603ff0742ff7c81f5f4bb1212dc6cb93cf9a40b8b45ce50b9e6054bac595b0,1024,1280,RGB
assets/memoriz/categories/fillesPuissantes.webp,82166,93b26a9e8dde99197099fc6d6bfcf1c11b8d208f86dc5329dc446fdc15cc20bd,1024,1280,RGB
assets/memoriz/categories/films.webp,133346,8de097228ff703a532aaec97b121ced26ffa984086e7b4deac1df8385a798c84,1024,1280,RGB
assets/memoriz/categories/jeuxVideo.webp,135276,f78f47b6d1aac535b05790ad968953c179e6c9e2629d9cb6cbb2fb1dd67c5ec1,1024,1280,RGB
assets/memoriz/categories/ligueDesChampions.webp,81184,96a5faa4eea98d998560183cd5bc7f734ec8291a8d8a058db33c230cf4e37923,1024,1280,RGB
assets/memoriz/categories/meilleuresTechniques.webp,77868,32e94e82871512d47fa497b8f696766127d24b0b4100bea37c66d98416a11906,1024,1280,RGB
assets/memoriz/categories/meilleuresTransformations.webp,71510,149d355093c0486727fae302867ed2b5c638a15d67e3731443ac85cfe3c41895,1024,1280,RGB
assets/memoriz/categories/meilleursAnimes.webp,77898,4f3a80405686a4a97ab2befbc041d1b2275b7a6ad10edcb920b614a863f0c6f4,1024,1280,RGB
assets/memoriz/categories/meilleursArcs.webp,78250,cfaae5304c7038a3f400bb40c5ab9cb061d11a1315d4ac3acb4c94e55b159a62,1024,1280,RGB
assets/memoriz/categories/meilleursCombats.webp,80446,2c8d7300dd766a23bd933b09feeca2117e9d409662d4b9eda0749f7e818c3fbe,1024,1280,RGB
assets/memoriz/categories/meilleursEntraineurs.webp,79256,d8af6dc57103aa94a34b85c99356473f7cf08c6a78831fbd7f650bef90766f84,1024,1280,RGB
assets/memoriz/categories/meilleursFootballeurs.webp,87928,8a6432c28362dcbfd470ec96657f5d10a96eda363806aeff75571283c073a15c,1024,1280,RGB
assets/memoriz/categories/meilleursMangas.webp,78444,31466a2d5fdd9fa58f3e3a10843605828195a61eb53b93e4d8a8c4fdb1b835ec,1024,1280,RGB
assets/memoriz/categories/rapFrUs.webp,207416,2cba9de78c243c22983f61bfbc7ece2956bda024e42a757bddd32613eeba3454,1024,1280,RGB
assets/memoriz/categories/series.webp,123348,ca54be200b62603d8e92b3c832cc0830db8840d00cb96c018ad3a30b376599a2,1024,1280,RGB
